case_id,concept,osi_layer,severity,symptom,evidence_command,evidence_output,next_command,fix,verification
ASE11,DHCP,Layer 3,High,Clients receive an incorrect gateway,show ip dhcp binding,"DHCP configuration provides the wrong default gateway",show running-config | section dhcp,"Configure the correct default-router in the DHCP pool",Clients receive the correct gateway
ASE12,DHCP,Layer 3,Medium,Some addresses are unexpectedly unavailable,show running-config | section dhcp,"DHCP excluded range contains addresses that should be available",show running-config | section dhcp,"Correct the DHCP excluded-address configuration",Expected addresses become available
ASE13,DNS,Application,Medium,Website names cannot be resolved,ipconfig /all,"DNS server is configured as 8.8.8.8 instead of the internal DNS server",nslookup example.local,"Configure the correct DNS server",Internal names resolve successfully
ASE14,DNS,Application,Medium,Internal hostname cannot be resolved,nslookup,"DNS returns NXDOMAIN for the internal hostname",nslookup server.local,"Create or correct the missing DNS record",nslookup returns the correct IP address
ASE15,DNS,Application,High,Clients cannot resolve any domain names,nslookup,"Configured DNS server is unreachable",ping DNS_SERVER,"Restore DNS server connectivity or configure a reachable DNS server",DNS queries receive responses
ASE16,Static Routing,Layer 3,High,Remote network is unreachable,show ip route,"No route exists to the remote network",show ip route,"Add a static route to the remote network",Remote network appears in routing table
ASE17,Static Routing,Layer 3,High,Traffic is sent to the wrong router,show ip route,"Static route uses an incorrect next hop",show ip route,"Configure the correct next-hop address",Traffic reaches the correct next hop
ASE18,Router Interface,Layer 3,High,Network behind router is unreachable,show ip interface brief,"Router interface connected to the network is administratively down",show ip interface brief,"interface g0/0;no shutdown",Interface status becomes up/up
ASE19,Dynamic Routing,Layer 3,High,Remote network is missing from routing table,show ip protocols,"Remote network is not included in the routing protocol configuration",show running-config,"Add the missing network to the routing protocol configuration",Remote network appears in the routing table
ASE20,ACL,Layer 3,High,Allowed traffic is being blocked,show access-lists,"ACL contains a deny statement matching the traffic",show access-lists,"Modify the ACL to permit the required traffic",Allowed traffic passes successfully
ASE21,ACL,Layer 3,High,Traffic is blocked unexpectedly,show ip interface,"ACL is applied to the wrong interface",show running-config interface g0/0,"Remove the ACL from the wrong interface and apply it to the intended interface",Traffic follows the intended ACL policy
ASE22,ACL,Layer 3,High,ACL rules do not behave as expected,show ip interface,"ACL is applied in the wrong direction",show running-config interface g0/0,"Apply the ACL in the correct inbound or outbound direction",ACL behaves according to the intended policy
ASE23,NAT,Layer 3,High,Internal users cannot access external network,show running-config,"NAT inside configuration is missing on the LAN interface",show running-config,"interface g0/0;ip nat inside",Internal clients can access external network
ASE24,NAT,Layer 3,High,NAT translations are not created,show running-config,"NAT outside configuration is missing on the WAN interface",show running-config,"interface g0/1;ip nat outside",NAT translations appear
ASE25,NAT,Layer 3,High,Internal network traffic is not translated,show access-lists,"NAT ACL does not permit the internal network",show access-lists,"Add a permit statement for the internal network to the NAT ACL",NAT translations are created for internal clients
ASE26,Wireless,Layer 2,Medium,Client cannot find the expected wireless network,show wlan,"Configured SSID does not match the expected SSID",show wlan,"Configure the correct SSID",Client can see and select the correct SSID
ASE27,Wireless,Layer 2,Medium,Client cannot authenticate to Wi-Fi,show wlan,"Wireless security key does not match the configured password",show wlan,"Configure the correct wireless password",Client authenticates successfully
ASE28,Wireless VLAN,Layer 2,High,Wireless client receives an address from the wrong network,show vlan brief,"Wireless client traffic is mapped to the wrong VLAN",show vlan brief,"Assign the wireless SSID/interface to the correct VLAN",Client receives an address from the correct VLAN
ASE29,Wireless Access Point,Layer 2,High,Wireless clients have no network connectivity,show interfaces status,"Access point uplink is down",show interfaces status,"Enable and restore the access point uplink connection",Wireless clients regain connectivity
ASE30,Wireless DHCP,Layer 3,High,Wireless client cannot obtain an IP address,ipconfig,"Wireless client receives 169.254.x.x because DHCP is unavailable",ipconfig,"Restore DHCP service or correct the wireless DHCP configuration",Wireless client receives a valid IP address
